id,x,y,w,h,palette,dest_size,palette_mode,tile_mode

# Padding
,0,0,1,1,0,same,normal,renew

Active,1,0,1,1,0,same,renew,renew
Stacked,2,0,1,1,0,same,renew,renew
Ghost,0,1,16,2,0,same,renew_object,renew

# Minos for palette
,0,3,1,1,1,same,renew,ignore
,0,4,1,1,1,same,renew,ignore
,0,5,1,1,1,same,renew,ignore

,1,3,1,1,2,same,renew,ignore
,1,4,1,1,2,same,renew,ignore
,1,5,1,1,2,same,renew,ignore

,2,3,1,1,3,same,renew,ignore
,2,4,1,1,3,same,renew,ignore
,2,5,1,1,3,same,renew,ignore

,3,3,1,1,4,same,renew,ignore
,3,4,1,1,4,same,renew,ignore
,3,5,1,1,4,same,renew,ignore

,4,3,1,1,5,same,renew,ignore
,4,4,1,1,5,same,renew,ignore
,4,5,1,1,5,same,renew,ignore

,5,3,1,1,6,same,renew,ignore
,5,4,1,1,6,same,renew,ignore
,5,5,1,1,6,same,renew,ignore

,6,3,1,1,7,same,renew,ignore
,6,4,1,1,7,same,renew,ignore
,6,5,1,1,7,same,renew,ignore

#

HardDropEffect,17,0,1,8,0,same,normal,renew
